菜谱名称,原料
补肝－何首乌粥,"制首乌,煎取浓汁,去渣,加粳米,红枣-枚。"
补肝肾－旱莲草红枣汤,"鲜旱连草,红枣-枚。"
补肝肾－何首乌煮鸡蛋,"何首乌,鸡蛋,葱,生姜,食盐,料酒,味精,猪油各。"
补肝肾－黑芝麻粥,
补肝肾－鹿角胶粥,"鹿角胶,枸杞,粳米。"
补肝肾－清脑羹,"干银耳,炙杜仲,冰糖。"
补肝肾－桑椹酒,"桑椹,大米,酒曲。"
补肝肾－沙苑子白菊花茶,"沙苑子,白菊花。"
补肝肾－山楂桑椹子煎,"鲜山楂（干品）,桑椹子（干品）。"
补肝肾－松花淡菜粥,"皮蛋,淡菜,粳米,盐,味精各。"
补肝肾－天麻酒,"天麻,制首乌,丹参,黄芪,杜仲,淫羊藿,白酒。"
补肝肾－益寿鸽蛋汤,"枸杞子,龙眼肉,制黄精,鸽蛋,冰糖。"
补肝肾－芝麻粥,"黑芝麻,粳米。"
补肝益肾－牡瓦鸡肝汤,"生牡蛎,瓦楞子各。公鸡肝具。"
补肝益肾－强补猪肝,"猪肝,香菇,枸杞子,北五加皮,北五味子,盐,味精,酱油各。"
补肝益肾－银杞明目汤,"银耳,枸杞,鸡肝,茉莉花朵,水豆粉,料酒,姜汁,食盐各。"
补肝－芝麻粥,"黑芝麻,粳米。"
补脾肾－红枣益脾糕,"面粉,小枣,蜜枣,红糖,小米面,玫瑰。"
补脾养肾－大枣黑豆丸,"大枣,黑豆备。"
补脾益肾－百合淮山猪胰汤,"百合,淮山药,猪胰脏-。"
补肾健脑－养元鸡子,"鸡子枚,小茴香,菟丝子,桑寄生,蜜炙黄芪。"
补肾健脾－山药羊乳羹,"山药,新鲜羊乳,白砂糖或蜂蜜。"
补肾养肝－益智鳝段,"干地黄,菟丝子,净鳝鱼肉,净笋,黄瓜,木耳,酱油,味精,盐,淀粉,料酒,胡椒面,姜末,蒜末,香油,白糖各,蛋清,高汤。"
补肾益精－玉竹海参火锅,"玉竹,水发海参,水发香菇,水发玉兰片,猪舌头各,午餐肉,牛毛肚各,黄豆芽,小白菜各,姜,葱,精盐,味精,麻油,鲜汤。"
补益脾肾－玉颜小米粥,"小米,,何首乌,。"
补阴血－芝麻白糖糊,"芝麻,白糖。"
肝肾亏损－枸杞子酒,"枸杞子,白烧酒。"
固肾调精－当归黄芪乌鸡汤,"乌鸡肉,当归,黄芪。"
健脾补肾－莲子鸡丁,"净鸡脯肉,莲子,香菇,火腿肉,蛋清,淀粉,调料。"
健脾利湿－白茯苓粥,"白茯苓粉,粳米,味精,食盐胡椒粉各。"
健脾利湿－葫芦双皮汤,"葫芦壳,冬瓜皮,西瓜皮各,红枣。"
健脾利湿－土茯苓猪骨汤,"猪脊骨,土茯苓-。"
酒精性脂肪肝－葛花荷叶茶,"葛花,鲜荷叶（干荷叶）。"
开胃健脾－姜枣龙眼蜜膏,"龙眼肉,大枣肉,蜂蜜,鲜姜汁汤匙。"
利尿消肿－玉米须饮,玉米须。
脾肾阳虚－三七粥,三七。
脾肾阳虚－瘦猪肉,"瘦猪肉（切块）,生姜（切丝）。"
平肝潜阳－天麻石决明猪脑汤,"猪脑,天麻,石决明。"
平肝－天麻钩藤茶,"天麻,钩藤,绿茶。"
清肝泻火－夏枯草瘦肉汤,"猪瘦肉,夏枯草,石上柏。"
清热解毒－炒绿豆芽,绿豆芽。
清热解毒－海带绿豆汤,"鲜海带,绿豆,白糖。"
清热解毒－蒲公英粥,"蒲公英-（鲜品用量为-）,粳米-。"
清热解毒－芹菜蜜汁,"鲜芹菜-,蜂蜜。"
清热解毒－鱼腥草拌莴笋,"鲜鱼腥草,莴笋,葱,姜,蒜酱油,醋,味精等。"
清热解毒－栀子仁粥,"栀子仁,粳米。"
清热平肝－罗布麻茶,"罗布麻叶,山楂,五味子,冰糖（肥胖病人可不放糖）。"
肾虚腰痛－人参山药,"人参,山药,大枣枚,瘦猪肉。"
肾虚腰痛－首乌黑豆,"制首乌,黑豆。"
肾虚腰痛－猪腰杜仲,"猪腰子枚,洗净切片,杜仲。"
通痹－芝麻粥,"芝麻仁,白米,白砂糖。"
温宫补肾－鹿茸炖乌鸡,"乌鸡,鹿茸。"
泄热平肝－冬瓜鲩鱼汤,"冬瓜,鲩鱼（鱼尾部较好）。"
泻肝利水－苦瓜荠菜瘦肉汤,"鲜苦瓜,荠菜,猪瘦肉。"
养肝－芹菜蜜汁,"鲜芹菜,蜂蜜。"
养肝肾－鸡肝粥,"雄鸡肝具,菟丝子末,粟米,葱白段,食盐,胡椒粉各。"
养肝肾－菊花酒,"甘菊花,生地黄,当归,枸杞,大米,酒曲。"
养肝益脑－桑椹糯米,"桑椹,糯米,冰糖。"
益肾补脑－胡桃粳米粥,"胡桃仁,粳米。"
脂肪肝－虫草香菇炖豆腐,"冬虫夏草,香菇,豆腐。"
脂肪肝－党参茯苓扁豆粥,"党参,茯苓,白扁豆,粳米。"
脂肪肝合并肥胖症－橘皮苡仁粉,"橘皮,苡仁。"
脂肪肝－花生豆奶,"黄豆,花生。"
脂肪肝－山楂蜂蜜饮,"生山楂,蜂蜜。"
滋补肝肾－四子粥,"菟丝子,覆盆子,枸杞子,茺蔚子,大米。"
滋肝明目－兔肝鸡蛋汤,"新鲜兔肝具,红皮鸡蛋,植物油,精盐,香菜等各。"
滋养肝肾－蜂蜜桑椹膏,"鲜红熟桑椹,蜂蜜。"
滋养肝肾－杞精炖鹌鹑,"鹌鹑,枸杞子,黄精各,盐,味精。"
滋阴补肾－银耳枸杞汤,"水发银耳,枸杞。"
清肺补血－川明参烧雅鱼,"川明参,雅鱼（或草鱼）条,料酒,姜,葱各,盐,味精,白糖各,鲜汤,素油。"
补气血－桂圆童子鸡,"童子鸡（重约）,桂圆肉,葱,姜,料酒,盐各。"
补气血－红枣粳米粥,
补气养血－参砂蒸蛋,"苏条参（或潞党参）,淮山药各,朱砂,鸡蛋。"
补血－美颜补血粥,"当归,川芎,黄芪,红花,鸡汤,粳米。"
补血益气－归参炖母鸡,"当归,党参,母鸡,葱,姜,料酒,食盐各。"
补益气血－乌鸡汤,"雄乌骨鸡,陈皮,良姜,胡椒,草果枚,葱,醋。"
补益肾阳－鹿茸酒,"鹿茸-,山药-,白酒。"
红枣炖兔肉－补中益气,"兔肉,红枣枚。"
大补气血－双参肉,"鲜人参,海参,猪瘦肉,香菇,青豌豆,竹笋,味精,精盐,香油各。"
气血双补－当归黄芪乌鸡汤,"乌鸡肉,当归,黄芪。"
气血虚弱－当归生姜羊肉汤,"当归,生姜,羊肉,精盐。"
养血补气－玉竹海参火锅,"玉竹,水发海参,水发香菇,水发玉兰片,猪舌头各,午餐肉,牛毛肚各,黄豆芽,小白菜各,姜,葱,精盐,味精,麻油,鲜汤。"
养血止血－阿胶粥,"阿胶,糯米。"
养血止血－菠菜粥,"新鲜菠菜,粳米。"
益气补虚－黄精蒸鸡,"黄精,党参,山药各,母鸡（重约）,生姜,川椒,食盐,味精各。"
益气健脾－参灵甲鱼,"党参,浮小麦各,茯苓,灵芝,大枣各,甲鱼,火腿,葱,姜各,鸡汤,盐,味精各。"
补脾肾－红枣益脾糕,"面粉,小枣,蜜枣,红糖,小米面,玫瑰。"
滋阳益气－虫草红枣炖甲鱼,"冬虫夏草,活甲鱼,红枣,料酒,盐,葱,姜,蒜,鸡清汤各。"
滋阴润燥－白兰花猪瘦肉汤,"鲜白兰花（干品）,猪瘦肉。"
补阳－狗肉粳米,"狗肉,粳米,生姜。"
通阳散结－薤白粥,"薤白,粳米。"
胸阳痹阻－丹参茶,丹参。
胸阳痹阻－山楂白扁豆,"山楂,白扁豆,韭菜,红糖。"
益气－参麦团鱼,"人参,浮小麦,团鱼（约-）,生姜片,食盐,鸡汤,绍酒,味精.。"
阴虚阳亢－白黑木耳,"白木耳,黑木耳各。"
阴虚阳亢－黄精黄芪,"黄精,黄芪,枸杞子,瘦猪肉。"
阴虚阳亢－制首乌,"制首乌,丹参各。"
阴阳两虚－海参冰糖,"海参,冰糖。"
阴阳两虚－桃仁红糖,"核桃仁,桃仁,红糖。"
阴阳两虚－鲜磨菇,鲜磨菇或香菇（干品减半）。
滋阴清热－萝卜煲鲍鱼,"干鲍鱼-,鲜萝卜-。"
滋阴润燥－白兰花猪瘦肉汤,"鲜白兰花（干品）,猪瘦肉。"
滋阴润燥－鸡蛋甜豆浆,"鸡蛋,甜豆浆。"
补肺益肾－羊蜜膏,"熟羊脂,熟羊髓,白沙蜜（炼净）,生姜汁,生地黄汁。"
补脾肺－猪肺粥,"猪肺,梗米,薏苡仁,料酒,葱,姜,食盐,味精各。"
补虚平喘－银杏蒸鸭,"银杏,白鸭。"
肺癌血热－仙枣赤豆粥,"仙鹤草,大枣枚,赤小豆,生薏米,白糖。"
肺结核（肺阴不足症）－白芨鸡蛋,"白芨粉,鸡蛋搅匀。"
肺结核（肺阴不足症）－白心萝卜,红皮白心大萝卜。
肺结核（肺阴不足症）－麦冬粳米,
肺结核（气阴两虚证）－百合党参,"百合,党参,猪肺。"
肺结核（气阴两虚证）－大枣冰糖,"粳米,大枣枚。"
肺结核（气阴两虚证）－蛤蚧人参粉,糯米-。
肺结核－北沙参,"北沙参,百合,南杏仁,瘦猪肉。"
肺结核－银杏白芨,"银杏,白芨粉,粳米。"
肺虚咳嗽－红枣粥,红枣-。
肺燥咳嗽－松子胡桃仁,"松子仁,胡桃仁。"
肺燥咳嗽－松子粥,"松子仁,粳米,蜂蜜。"
化痰止咳－北杏炖雪梨,"北杏,雪梨,白砂糖。"
健脾补肺－龙猪枣汤,"五爪龙,大枣,瘦猪肉各。"
清补脾肺－淡兔汤,"兔子,黄酒匙,酱油。"
清肺－川明参烧雅鱼,"川明参,雅鱼（或草鱼）条,料酒,姜,葱各,盐,味精,白糖各,鲜汤,素油。"
清肺化痰－杷叶粥,"枇杷叶,粳米,冰糖。"
清肺－昙花炒鸡蛋,"昙花朵,鸡蛋（或鹌鹑蛋）,盐,味精,素油。"
清肺止咳－天花粉粥,"天花粉,粳米。"
清热化痰－枇杷罗汉果粥,"鲜枇杷叶（干品）,罗汉果枚,粳米。"
清热化痰－笋菇肉丝,"芦笋,香菇,瘦猪肉,鸡蛋,葱,姜,油,盐,淀粉,味精,麻油各。"
清热化痰－鲜芦根竹茹粥,"鲜芦根,竹茹,粳米。"
清热化痰－竹沥粥,"粳米,竹沥水-。"
清热利肺－丝瓜鱼片汤,"丝瓜,生鱼。"
清热润肺－川贝百合炖雪梨,"川贝母,百合（干品）,雪梨。"
清热润肺－西洋菜瘦肉汤,"鲜西洋菜,蜜枣枚,猪瘦肉。"
"润肺和胃,补虚强身－鸡汤银耳","银耳,鲜莲子,鸡清汤.千,盐,味精,料酒,胡椒末各。"
润肺化痰－瓜蒌饼,"瓜蒌,面粉,白糖,清水。"
润肺生津－白木耳粥,
润肺止咳－百合粥,"百合,大米,白糖。"
润肺止咳－大枣百合汤,"大枣枚,百合,冰糖。"
润肺止咳－淮山百合炖白鳝,"淮山,百合（干品）,白鳝条。"
润肺止咳－蜜饯百合,"干百合,蜂蜜。"
润肺止咳－宁嗽定喘饮,"生怀山药,甘蔗自然汁,酸石榴自然汁,生鸡子黄。"
通肺止咳－薄荷杭菊糖茶,"薄荷,杭菊,冰糖或白糖。"
温肾补肺－熙春酒方,"枸杞子,龙眼肉,女贞子,生地,仙灵牌,绿豆各,柿饼,烧酒公斤。"
宣肺理气－生姜芥菜汤,"鲜芥菜,生姜。"
宣肺止咳清火－杭菊糖茶,"杭菊花,白糖。"
益心肺－黄精炖猪瘦肉,"黄精,猪瘦肉,葱姜,料酒,食盐,味精各。"
益阴补髓－羊脊骨粥,"大羊脊骨具,青小米,食盐。"
"阴虚,肺燥－银耳鸭蛋羹","鸭蛋,水发银耳,白糖。"
止咳定喘－百果玫瑰球,"核桃仁末,红枣（去皮核）,青梅末,橘饼,莲米末各,南瓜子仁末,猪板油,白糖,干淀粉,鸡蛋清,菜油,玫瑰酱,红米汁各。"
止咳化痰－丝瓜花蜜饮,"丝瓜花,蜂蜜。"
滋补肝肾－枸杞粳米粥,"枸杞,粳米。"
滋润五脏－松子抗衰膏,"松子仁,黑芝麻,核桃仁,蜂蜜,黄酒。"
滋养肺胃－黄精玉竹猪胰汤,"黄精,玉竹,猪胰具。"
滋阴降火－川贝腐竹炖水鱼,"川贝母,水鱼,腐竹葱,生姜,花椒。"
滋阴清热－杏仁川贝水鱼汤,"南杏仁,川贝母,知母,水鱼条（约）。"
滋阴润肺－阿胶粥,"阿胶,糯米。"
"滋阴润燥,清肺化痰－鸡蛋甜豆浆","鸡蛋,甜豆浆。"
滋阴生津－百合雪耳瘦肉汤,"百合,雪耳,猪瘦肉。"
滋阴生津－银耳粥,"干银耳,糯米。"
发汗解表－五神汤,"荆芥,苏叶,生姜,茶叶,红糖。"
风湿肢疼－芝麻粥,"芝麻仁,白米,白砂糖。"
解表和中－葱豉黄酒汤,"豆豉,葱须,黄酒。"
解表散寒－葱白香菜汤,"葱白,香菜各。"
解表散寒－苏叶姜葱橄榄汤,"紫苏,生姜,葱白,新鲜橄榄（连核）。"
解表散寒－苏叶生姜鸡蛋汤,"紫苏叶,生姜,鸡蛋。"
清热止渴－三稔煲荠菜,"三稔-枚,荠菜,盐。"
清热解毒－白菜绿豆饮,"白菜根茎头,绿豆芽。"
清热解毒－臭草绿豆糖水,"鲜臭草,绿豆,红糖。"
清热解毒－鸡骨草红枣汤,"鸡骨草,红枣枚。"
清热解毒－苦瓜水,苦瓜半。
清热解毒－马齿苋绿豆汤,"鲜马齿苋（干品）,绿豆。"
清热解毒－双花饮,"金银花,大青叶,蜂蜜。"
清热解毒－鱼腥草猪肺汤,"鱼腥草,红枣枚,猪肺。"
清热解毒－玉米须蚌肉汤,"玉米须,蚌肉。"
温中祛寒－炖狗肉,"熟附片,生姜,狗肉,调料。"
温中散寒－丁香姜糖,"红糖,生姜碎末,丁香粉。"
消除疲劳－丁香火锅,"丁香,蛤蜊肉,鱼圆,墨鱼条,虾仁,粉丝,芹菜,冻豆腐,葱,味精各,鸡汤碗。"
安神－参砂蒸蛋,"苏条参（或潞党参）,淮山药各,朱砂,鸡蛋。"
安神－人参鸡火锅,"人参,母鸡肉,水发海参,牛环喉,猪油各,猪瘦肉,猪舌头,胡萝卜,莴笋各,豌豆苗尖,醪糟汁各,料酒,花椒,酱油,精盐,冰糖,葱各,味精,姜,胡椒粉,鲜汤。"
补虚养神－莲子奶糊,"石莲子,牛奶,白糖。"
补肝益智－地黄乌鸡,"雌乌骨鸡（重约）,生地黄,饴糖各。"
记忆力衰退－拔丝蛋块,"鸡蛋黄,白糖,面粉,植物油（耗油）,青红丝.,香蕉精.。
　　"
宁心安神－小米枣仁粥,"小米,酸枣仁末,蜂蜜。"
宁心神－玫瑰枣仁心,"猪心,枣仁,玫瑰花。"
神经衰弱－干炸猪脑,"猪脑,姜,鸡蛋清,精盐,甜酱,干淀粉,八角,茴香各.,葱。猪油（耗）。"
神经衰弱－乌灵参炖鸡,"鸡,乌灵参,酒,姜,葱,盐各。"
生津安神－地黄乌鸡火锅,"生地黄,午餐肉,菜心各,大枣,乌鸡（约重）,蘑菇,金针菇各,藕,姜,葱,精盐,味精,料酒,骨头汤。"
失眠－罗布麻速溶饮,罗布麻叶。
失眠－牛（羊）肝大枣汤,"牛或羊肝,大枣枚。"
失眠－桑螵龙牡散,"桑螵蛸,生龙骨,生牡蛎各等份。"
小麦甘枣汤,"浮小麦,炙甘草,大枣,百合。"
枣仁地黄泥,"酸枣仁,生地黄,白砂糖。"
养心安神－酸枣仁粥,"酸枣仁末,粳米。"
安心养神－白醋鸡蛋,"陈白醋.,鸡蛋。"
养心－荷花首乌肝片,"荷花朵,首乌粉,猪肝,豆粉,小油菜,盐,味精,葱,姜,蒜。"
益脑－杞子炖羊脑,"枸杞子,羊脑具,葱,姜,料酒,精盐,味精各。"
益智增力－益智鳝段,"干地黄,菟丝子,净鳝鱼肉,净笋,黄瓜,木耳,酱油,味精,盐,淀粉,料酒,胡椒面,姜末,蒜末,香油,白糖各,蛋清,高汤。"
鼻衄－白萝卜汁,"白萝卜,冰糖。"
鼻衄－大蒜泥,生大蒜瓣。
鼻衄－猪蹄汤,"猪蹄,茜草,大枣枚。"
聪耳明目－桑椹蜜膏,"桑椹,蜂蜜。"
耳鸣耳聋－狗肉黑豆汤,"狗肉,黑豆,精盐。"
耳鸣耳聋－羊肾黑豆杜仲汤,"羊肾对,黑豆,杜仲,生姜,菖蒲。"
急性咽喉炎－生地螃蟹汤,"生地,螃蟹。"
慢性鼻炎－白扁豆粥,"白扁豆,党参,粳米。"
明耳目－桑椹酒,"桑椹,大米,酒曲。"
明目美颜－银杞明目汤,"银耳,枸杞子,鸡肝,茉莉花朵,水豆粉,料酒,姜汁,精盐,味精各。"
目眩－沙苑子白菊花茶,"沙苑子,白菊花。"
清热明目－枸杞叶粥,"鲜枸杞叶,糯米,白糖。"
龋齿－花椒粥,"花椒,粳米。"
头晕目眩－杞菊决明子茶,"枸杞子,菊花,决明子。"
牙痛－地黄乌鸡火锅,"生地黄,午餐肉,菜心各,大枣,乌鸡（约重）,蘑菇,金针菇各,藕,姜,葱,精盐,味精,料酒,骨头汤。"
眼涩眼花－杞子炖羊脑,"枸杞子,羊脑具,葱,姜,料酒,精盐,味精各。"
益目－猪肝炒胡萝卜,"猪肝,胡萝卜。"
补气健胃－黄芪鲫鱼火锅,"黄芪,鲫鱼条（约重）,猪瘦肉,豆腐,粉丝各,莴笋叶,化猪油,生姜,葱,料酒,白糖,精盐各,炒枳壳,味精,胡椒粉各,醋,鲜汤。"
补中益气－红糖炖豆腐,"豆腐,红糖。"
滑肠－松子粥,"松子仁,粳米,蜂蜜。"
健脾开胃－淮山圆肉炖水鱼,"淮山药,桂圆肉,水鱼。"
健脾开胃－莲藕粥,"藕,粳米,白糖。"
健脾开胃－麦芽山楂蛋羹,"鸡蛋,麦芽,山楂,淮山药,淀粉。"
开胃消食－蜜饯山楂,"生山楂,蜂蜜。"
补中益气－大枣粥,"枣,粳米,冰糖。"
润肠通便－菊楂决明饮,"菊花,生山楂片,决明子。"
润肠通便－桑椹糯米,"桑椹,糯米,冰糖。"
润肠通便－山楂核桃饮,"核桃,山楂,蔗糖。"
润肠通便－桃仁粥,"桃仁,粳米。"
通痹－芝麻粥,"芝麻仁,白米,白砂糖。"
填精补肾－金髓煎,"枸杞,白酒。"
填精补肾－人参鹿肉汤,"人参,黄芪,芡实,枸杞各,白术,茯苓,熟地,肉苁蓉,肉桂,白芍,益智仁,仙茅,泽泻,枣仁,淮山药,远志,当归,菟丝子,怀牛膝,淫羊藿,生姜各,鹿肉,葱,胡椒面,食盐各。"
通利肠胃－菠菜粥,"新鲜菠菜,粳米。"
温肾逐寒－附子鸡肉汤,"鸡肉,熟附子,生姜,红枣。"
动脉硬化－绿豆粥,"绿豆,北粳米。"
心肌缺血－党参田七炖鸡,"党参,田七,鸡肉。"
高血压－车前子粥,"车前子,粳米。"
高血压－松花淡菜粥,"皮蛋,淡菜,粳米,盐,味精各。"
高血压－天麻钩藤茶,"天麻,钩藤,绿茶。"
高血压－玉竹海参火锅,"玉竹,水发海参,水发香菇,水发玉兰片,猪舌头各,午餐肉,牛毛肚各,黄豆芽,小白菜各,姜,葱,精盐,味精,麻油,鲜汤。"
辛凉解表－米醋萝卜菜,"生白萝卜,米醋。"
冠心病－蜜饯山楂,"生山楂,蜂蜜。"
冠心病－玉竹猪心,"玉竹,猪心,生姜,葱,花椒,食盐,白糖,味精,香油。"
活血－山楂荷叶饮,"山楂,荷叶。"
活血－桃仁粥,"桃仁,粳米。"
活血－天麻酒,"天麻,制首乌,丹参,黄芪,杜仲,淫羊藿,白酒。"
降血压－葛根粉粥,"葛根粉,粳米。"
降血压－荷叶粥,"新鲜荷叶张,粳米,冰糖。"
降血压－菊苗粥,"甘菊新鲜嫩芽或幼苗,北粳米,冰糖。"
降血压－菊楂决明饮,"菊花,生山楂片,决明子。"
降血脂－红花绿茶饮,"红花,绿茶。"
降血脂－菊花山楂茶,"菊花,生山楂各。"
降血脂－灵芝甜酒,"灵芝,糖食酒,蜂蜜。"
降血脂－罗布麻茶,"罗布麻叶,山楂,五味子,冰糖。"
降血脂－沙苑子白菊花茶,"沙苑子,白菊花。"
降血脂－山楂桑椹子煎,"鲜山楂（干品）,桑椹子（干品）。"
降血脂－山楂乌梅饮,"用山楂一两（,）,乌梅五钱（,）,水.公升。"
降压降脂－杞菊决明子茶,"枸杞子,菊花,决明子。"
降压降脂－山楂核桃饮,"核桃,山楂,蔗糖。"
降压降脂－小米粉粥,"小米粉,粳米各。"
脑动脉硬化－鹿角胶粥,"鹿角胶,枸杞,粳米。"
气血虚弱－当归生姜羊肉汤,"当归,生姜,羊肉,精盐。"
软化血管－槐花茶,干槐花（干品）。
软化血管－女贞子蜂蜜饮,女贞子  蜂蜜。
养心－荷花首乌肝片,"荷花朵,首乌粉,猪肝,豆粉,小油菜,盐,味精,葱,姜,蒜。"
养血益精－龟板胎盘膏,"龟板,胎盘,红糖斤。"
养血止血－花生衣,花生衣末。
中风－桑叶汤,桑叶-。
百草脱骨扒鸡,"茯苓,百合,龙眼肉,蜂蜜,芡实,枸杞子,山楂,白果,花椒等中药,鸡。中药与鸡的重量比为.：。"
何首乌山鸡,"山鸡二,炙何首乌,青椒,冬笋,酱油,料酒,味精,精盐,豆粉,鸡蛋,菜油（实际消耗）。"
女贞子酒,"女贞子,低度白酒。"
芹菜炒香菇,"芹菜,香菇（水发）,食盐,干淀粉,酱油,味精,菜油各。"
清炖猪蹄膀,"猪蹄膀（带皮）,红枣枚。"
琼玉膏,"人参,生地黄汁,白茯苓,蜂蜜。"
雀儿药粥,"麻雀,菟丝子-,覆盆子-,枸杞子-,粳米,细盐,葱白茎,生姜片。"
人参蜂蜜粥,"人参,蜂蜜,生姜汁,韭菜汁,粳米。"
桑椹蜜膏,"鲜桑椹（或干品）,蜂蜜。"
山药芝麻糊,"山药,黑芝麻,玫瑰酱,鲜牛奶,冰糖,粳米。
　　"
山楂核桃饮,"核桃仁,山楂,白糖。"
松子核桃膏,"松子仁,核桃仁各,蜂蜜。"
松子抗衰膏,"松子仁,黑芝麻,核桃仁,蜂蜜,黄酒。"
乌发糖,"核桃仁,黑芝麻,赤砂糖。"
熙春酒方,"枸杞子,龙眼肉,女贞子,生地,白酒公斤,淫羊藿,猪油,绿豆。"
金髓煎,"枸杞,白酒。"
养元鸡子,"鸡子枚,小茴香,菟丝子,桑寄生,蜜炙黄芪。"
益寿鸽蛋汤,"枸杞子,龙眼肉,制黄精,鸽蛋,冰糖。"
芝麻白糖糊,"芝麻,白糖。"
癌肿－珍珠米糊,"鲜珍珠米,白糖。
　　"
白血病甲状腺癌－猪骨汤,"黄豆,蚝豉,猪脊骨。"
肠癌－猪肠汤,"猪大肠,木耳,水发海参。"
防癌－绞股蓝茶,绞股蓝-。
防治鼻咽癌－菊花茶,"野菊花（鲜品加倍）,冰糖。"
肺癌－瓜蒌饼,"瓜蒌,面粉,白糖,清水。"
肺癌食道癌－灵芝粉蒸肉饼,"灵芝,猪瘦肉。"
肺癌－笋菇肉丝,"芦笋,香菇,瘦猪肉,鸡蛋,葱,姜,油,盐,淀粉,味精,麻油各。"
肺癌－无花果粥,"鲜无花果,粳米,冰糖。"
肺癌－仙枣赤豆粥,"仙鹤草,大枣枚,赤小豆,生薏米,白糖。"
肝癌－玫瑰花茶,"玫瑰花瓣,茉莉花,云南抗癌保健茶。"
肝癌－香菇薏米饭,"粳米,生薏米,香菇,油豆腐块,青豆半小碗,油,盐各。"
肝癌消化道癌症－黑木耳炒猪肝,"黑木耳,猪肝。"
肝炎癌症－泥鳅粉,活泥鳅。
前列腺癌－蛇草薏苡仁粥,"白花蛇舌草,菱粉,薏苡仁。"
食管癌－糟茄,"紫茄子,精盐,酒糟。"
晚期肺癌－银杏蒸鸭,"银杏,白鸭。"
胃癌－海带炖鲫鱼,"海带,鲫鱼尾（约）,生姜,葱,花椒,油,盐,料酒,味精各。"
胃癌－莲子奶糊,"石莲子,牛奶,白糖。"
胃癌食道癌－韭汁牛乳饮,"韭菜,牛奶,生姜汁。"
西红柿烧豆腐,"西红柿,豆腐。"
四喜豆腐,"豆腐,胡萝卜,油菜叶,冬蘑,木耳各。"
素炒蒿茼,茼蒿。
奶油冬瓜条,冬瓜．
油焖茄子,茄子。
辣味茄丝,茄子。
芙蓉菜花,"菜花,蛋清。"
开洋烧菜心,"青菜,笋肉,虾米。"
珊瑚白菜,"洋白菜(五棵),青红椒,冬笋,香菇。"
扒奶汁白菜,"大白菜心,牛奶。"
清炖猴头蘑,"干猴头蘑,鞭笋尖。"
萝卜丸子,"红皮萝卜,面粉。"
土豆松,土豆。
菠菜松,菠菜叶。
糖拌蕃茄,西红柿(红的)。
凉拌粉丝,"龙口粉丝(或其它细粉丝),蒜苗。"
拌金针茹,"金针菇,香菜。"
翡翠豆腐,"豆腐,菠菜梗。"
虾油拌豆腐,豆腐。
清汤菜心,嫩油菜(要在棵以上)。
香酥南瓜条,"南瓜,面粉。"
香酥茄子条,"茄子,面粉。"
香酥土豆丝,"土豆,面粉。"
海米烧冬瓜,"冬瓜,海米。"
白菜炖冻豆腐,"白菜,冻豆腐。"
砂锅豆腐,"豆腐,水发冬菇,冬笋,豌豆。"
烧素鸡,素鸡。
溜豆腐,豆腐。
密汁山药墩,"山药,青红丝。"
煮千丝,"豆腐干,冬菇,冬笋。"
烧二冬,"水发冬菇,冬笋．"
醋溜白菜,白菜。
脆皮萝卜,"大红辣萝卜,面粉,面肥(酵面)。"
炝菜花,嫩菜花。
炝青椒,青椒。
拌茄泥,"嫩茄子,香菜段。"
拔丝香蕉,"香蕉,鸡蛋,面粉。"
拔丝山药,"山药(或土豆,地瓜等)。"
炝酸辣黄瓜,嫩黄瓜。
拔丝苹果,"苹果,鸡蛋,面粉,青红丝少量。"
锅溻豆腐,"豆腐,鸡蛋,面粉,绿菜叶。"
素火腿,豆腐皮。
油焖笋,冬笋(或春笋)。
五香豆腐,豆腐。
炝冬笋,鲜冬笋肉。
凉拌海带,水发海带。
酸辣白菜,嫩白菜。
萝卜卷,辣萝卜。
凉拌粉皮,"鲜粉皮,嫩黄瓜,红辣椒,海米,香菜各。"
八宝菠菜,"菠菜,熟火腿,鸡蛋,海米,熟冬笋,水发冬菇,胡萝卜。"
小葱拌豆腐,"豆腐,小葱。"
拌千丝,"豆腐干,香菜。"
凉拌土豆丝,土豆。
凉拌茄子,嫩茄子。
凉白菜,白菜心。
蒜泥扁豆,嫩扁豆。
蒜泥黄瓜,鲜嫩黄瓜。
海米拌芹莱,"芹菜,海米。"
虾籽炝芹菜,"芹菜,虾籽。"
三丝芹菜,"芹菜,五香豆腐干,水发香菇。"
芹菜拌香千,"豆腐干,芹菜。"
糖醋嫩藕,嫩藕。
青菜粉丝,"青菜,粉丝。"
瓢儿莱豆腐,"瓢儿菜,豆腐。"
糖酷藕丝,藕。
红烧芋头,芋头。
素炒三丝,"千张(豆腐皮),青椒,茭白．"
双冬焖菜心,"小油菜,水发冬菇,净冬笋。"
金鱼菜心,"小油菜心棵,荸荠,蛋清,水发冬菇,熟火腿,虾肉,鸡脯肉,辣萝卜各。"
盐水大青豆,新鲜大青豆。
盐水毛豆,鲜毛豆。
烧四季豆,四季豆。
椒麻蚕豆,鲜蚕豆。
炒苋菜,苋菜。
炒菠菜,菠菜。
炒空心菜,"空心菜(或叫“钢管菜’,学名为蕹菜),大头蒜。"
拌菠菜泥,"菠菜,五香豆腐干,熟笋。"
醋溜白菜,白菜。
白菜煎豆腐,"白菜,豆腐。"
平菇白菜,"白菜,平菇．"
